"id","account_id","name","manufacturer_id","status_id","category_id","installation_count","created_at","updated_at"
1065,46,"Computer",NULL,NULL,NULL,1,"2017-12-04 14:10:31","2017-12-04 14:10:31"
1066,46,"ControlStrip",NULL,NULL,NULL,1,"2017-12-04 14:10:31","2017-12-04 14:10:31"
1067,46,"DFRHUD",NULL,NULL,NULL,1,"2017-12-04 14:10:31","2017-12-04 14:10:31"
1068,46,"Docker",NULL,NULL,NULL,1,"2017-12-04 14:10:31","2017-12-04 14:10:31"
1069,46,"Dropbox",NULL,NULL,NULL,1,"2017-12-04 14:10:31","2017-12-04 14:10:32"
1070,46,"DropboxMacUpdate",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1071,46,"Dwell Control",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1072,46,"EmojiFunctionRowIM",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1073,46,"Games",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1074,46,"GarageBand",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1075,46,"Git Gui",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1076,46,"IMAutomaticHistoryDeletionAgent",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1077,46,"Java Mission Control",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1078,46,"Keynote",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1079,46,"LICEcap",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1080,46,"Network",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1081,46,"Notification Center",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1082,46,"NowPlayingTouchUI",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1083,46,"NowPlayingWidgetContainer",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1084,46,"Numbers",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1085,46,"OSDUIHelper",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1086,46,"PIPAgent",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1087,46,"Pages",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1088,46,"Paired Devices",NULL,NULL,NULL,1,"2017-12-04 14:10:32","2017-12-04 14:10:32"
1089,46,"Photos Agent",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1090,46,"Quick Look Simulator",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1091,46,"RapportUIAgent",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1092,46,"Recents",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1093,46,"RubyMine",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1094,46,"SHAREit",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1095,46,"STMUIHelper",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1096,46,"Siri",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1097,46,"Speech Downloader",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1098,46,"SpeechService.service",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1099,46,"Spotlight.service",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1100,46,"Storage Management",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1101,46,"Summary Service",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1102,46,"Table Tool",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1103,46,"TextMate",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1104,46,"Tower",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1105,46,"UASharedPasteboardProgressUI",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1106,46,"UniversalAccessHUD",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1107,46,"cs1",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1108,46,"iCloud",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1109,46,"iMovie",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1110,46,"screencapturetb",NULL,NULL,NULL,1,"2017-12-04 14:10:33","2017-12-04 14:10:33"
1111,46,"GConf2",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1112,46,"GeoIP",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1113,46,"LibRaw",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1114,46,"ModemManager",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1115,46,"ModemManager-glib",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1116,46,"NetworkManager",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1117,46,"NetworkManager-adsl",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1118,46,"NetworkManager-glib",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
1119,46,"NetworkManager-libnm",NULL,NULL,NULL,1,"2017-12-04 15:13:54","2017-12-04 15:13:54"
